,Ping (ms),Download (Mbit/s),Upload (Mbit/s),Date,Time
0,6.337000000000001,1693.43,727.14,2021-03-25,16:00:34
1,6.492000000000001,1986.93,632.61,2021-03-25,16:00:39
2,5.45,2046.72,622.69,2021-03-25,16:00:44
3,5.452999999999999,1771.34,736.38,2021-03-25,16:00:48
4,5.118,1940.92,706.64,2021-03-25,16:00:53
5,5.178999999999999,2008.38,762.43,2021-03-25,16:00:58
6,5.041,2000.64,658.5,2021-03-25,16:01:02
7,5.404,1973.32,774.47,2021-03-25,16:01:58
8,5.144,1984.46,761.61,2021-03-25,16:02:03
9,5.62,1789.24,671.05,2021-03-25,16:02:08
10,5.58,1908.93,753.02,2021-03-25,16:02:12
11,5.41,1949.69,689.72,2021-03-25,16:02:17
12,5.545,1824.22,572.31,2021-03-25,16:02:22
13,5.771,1672.99,649.85,2021-03-25,16:02:27
14,5.444,1823.88,682.69,2021-03-25,16:02:32
15,5.808,1905.03,637.4,2021-03-25,16:02:37
16,5.393,1841.6,653.48,2021-03-25,16:02:42
17,5.407,1828.51,710.97,2021-03-25,16:02:47
18,5.862,1903.52,682.65,2021-03-25,16:02:52
19,5.755,1760.72,764.6,2021-03-25,16:02:56
20,5.462999999999999,1840.55,715.86,2021-03-25,16:03:01
21,5.566,1907.37,672.86,2021-03-25,16:03:06
22,5.46,1957.65,690.32,2021-03-25,16:03:11
23,5.539,1911.57,770.22,2021-03-25,16:03:15
24,5.447,1899.73,693.21,2021-03-25,16:03:20
25,5.591,1800.12,685.41,2021-03-25,16:03:25
26,5.417999999999999,1836.46,694.37,2021-03-25,16:03:30
27,5.67,1802.09,758.24,2021-03-25,16:03:34
28,5.635,1795.01,678.02,2021-03-25,16:03:39
29,5.492999999999999,1955.02,761.67,2021-03-25,16:03:44
30,5.667999999999999,1964.16,733.68,2021-03-25,16:03:48
31,5.402,1906.54,720.19,2021-03-25,16:03:53
32,5.428,1815.92,689.36,2021-03-25,16:03:58
33,5.492000000000001,1951.67,741.86,2021-03-25,16:04:03
34,5.6370000000000005,1829.36,729.69,2021-03-25,16:04:07
35,5.374,1795.48,708.41,2021-03-25,16:04:12
36,5.596,1962.46,740.67,2021-03-25,16:04:17
37,5.402,1799.86,733.56,2021-03-25,16:04:21
38,5.281000000000001,1977.15,744.58,2021-03-25,16:04:26
39,5.409,1908.85,697.01,2021-03-25,16:04:31
40,5.579,1869.87,734.09,2021-03-25,16:04:35
41,5.685,1957.74,762.57,2021-03-25,16:04:40
42,5.475,1793.3,678.45,2021-03-25,16:04:45
43,5.316,1828.74,781.11,2021-03-25,16:04:49
44,5.45,1972.26,702.96,2021-03-25,16:04:54
45,5.462999999999999,1951.72,672.68,2021-03-25,16:04:59
46,5.656000000000001,1959.49,766.51,2021-03-25,16:05:03
47,5.37,1802.35,735.71,2021-03-25,16:05:08
48,5.434,1776.44,682.73,2021-03-25,16:05:13
49,5.531000000000001,1965.42,705.72,2021-03-25,16:05:18
50,5.287999999999999,1840.0,699.45,2021-03-25,16:05:22
51,5.42,1771.97,723.84,2021-03-25,16:05:27
52,5.559,1964.77,700.24,2021-03-25,16:05:32
53,5.4110000000000005,1969.31,691.12,2021-03-25,16:05:37
54,5.611000000000001,1934.6,737.05,2021-03-25,16:05:41
55,5.419,1808.71,697.43,2021-03-25,16:05:46
56,5.337999999999999,1929.01,763.52,2021-03-25,16:05:51
57,5.5089999999999995,1804.75,729.09,2021-03-25,16:05:55
58,5.32,1868.3,777.01,2021-03-25,16:06:00
59,5.267,1925.55,732.18,2021-03-25,16:06:05
60,5.767,1680.09,739.46,2021-03-25,16:06:09
61,5.461,1999.28,721.45,2021-03-25,16:06:14
62,5.732,1993.08,667.75,2021-03-25,16:06:19
63,5.444,1805.18,669.59,2021-03-25,16:06:24
64,5.794,1898.58,669.01,2021-03-25,16:06:29
65,5.417000000000001,1964.13,743.48,2021-03-25,16:06:33
66,5.596,1959.13,763.83,2021-03-25,16:06:38
67,5.646,1899.54,589.31,2021-03-25,16:06:43
68,5.442,1991.96,693.01,2021-03-25,16:06:48
69,5.886,1823.76,688.08,2021-03-25,16:06:52
70,5.5329999999999995,1951.26,689.27,2021-03-25,16:06:57
71,5.407,1835.58,748.49,2021-03-25,16:07:02
72,6.029,1861.82,691.84,2021-03-25,16:07:07
73,5.6339999999999995,1831.2,756.32,2021-03-25,16:07:11
74,5.495,1832.14,712.91,2021-03-25,16:07:16
75,5.757999999999999,1982.2,754.06,2021-03-25,16:07:21
76,5.65,1935.78,651.85,2021-03-25,16:07:26
77,5.553,1655.91,655.42,2021-03-25,16:07:31
78,5.692,1810.83,693.81,2021-03-25,16:07:36
79,5.547000000000001,1804.23,705.11,2021-03-25,16:07:41
80,5.744,1875.17,648.24,2021-03-25,16:07:46
81,5.604,1893.3,718.51,2021-03-25,16:07:51
82,5.403,1793.73,773.88,2021-03-25,16:07:55
83,5.284,1949.55,746.57,2021-03-25,16:08:00
84,5.625,1963.93,730.34,2021-03-25,16:08:05
85,5.72,1966.63,737.71,2021-03-25,16:08:09
86,5.682,1890.98,724.94,2021-03-25,16:08:14
87,5.5760000000000005,1658.86,701.89,2021-03-25,16:08:19
88,5.473,1770.84,721.58,2021-03-25,16:08:24
89,5.4079999999999995,1807.53,683.19,2021-03-25,16:08:28
90,5.486000000000001,1783.18,682.27,2021-03-25,16:08:33
91,5.475,1828.12,757.16,2021-03-25,16:08:38
92,5.609,1837.66,668.59,2021-03-25,16:08:43
93,5.5729999999999995,2024.29,721.74,2021-03-25,16:08:47
94,5.537000000000001,1844.82,677.8,2021-03-25,16:08:52
95,5.49,1810.17,720.61,2021-03-25,16:08:57
96,5.711,1974.19,726.24,2021-03-25,16:09:02
97,5.465,1965.23,748.39,2021-03-25,16:09:06
98,5.766,1958.18,664.25,2021-03-25,16:09:11
99,5.558,1773.8,716.25,2021-03-25,16:09:16
100,5.49,1784.57,679.12,2021-03-25,16:09:21
101,5.5120000000000005,1982.46,667.73,2021-03-25,16:09:26
102,5.202999999999999,1772.17,714.59,2021-03-25,16:09:30
103,5.641,1935.95,690.08,2021-03-25,16:09:35
104,5.527,1902.02,767.11,2021-03-25,16:09:40
105,5.49,1973.46,734.48,2021-03-25,16:09:45
106,5.361000000000001,1944.27,726.04,2021-03-25,16:09:49
